"refdes","device","value","footprint","Mfg Part Number","Digi-Key","Mouser"
"C101","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C102","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C103","CAPACITOR","15pf",603,"C0603C150J5GACTU","399-1051-1-ND",
"C104","CAPACITOR","15pf",603,"C0603C150J5GACTU","399-1051-1-ND",
"C105","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C106","CAPACITOR","15pf",603,"C0603C150J5GACTU","399-1051-1-ND",
"C107","CAPACITOR","15pf",603,"C0603C150J5GACTU","399-1051-1-ND",
"C108","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C109","POLARIZED_CAPACITOR","10uf",805,"TCP0J106M8R","511-1447-1-ND",
"C110","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C111","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C112","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C113","CAPACITOR","10uf",805,"TCA1C106M8R","511-1473-1-ND",
"C114","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C201","POLARIZED_CAPACITOR","10uF",805,"TCA1C106M8R","511-1473-1-ND",
"C202","POLARIZED_CAPACITOR","10uF",805,"TCA1C106M8R","511-1473-1-ND",
"C203","CAPACITOR","0.22uf",603,"250R14W224KV4T","709-1156-1-ND",
"C204","POLARIZED_CAPACITOR","22uF",1206,"TCA1A226M8R","511-1465-1-ND",
"C205","CAPACITOR","0.22uf",603,"250R14W224KV4T","709-1156-1-ND",
"C206","POLARIZED_CAPACITOR","47uF",1206,"TCTAL1A476M8R","511-1500-1-ND",
"C207","POLARIZED_CAPACITOR","3.3uF",805,"TCA1C335M8R","511-1470-1-ND",
"C208","POLARIZED_CAPACITOR","3.3uF",805,"TCA1C335M8R","511-1470-1-ND",
"C209","CAPACITOR","220pf",603,"C0603C221K5RACTU","80-C0603C221K5R",
"C210","CAPACITOR","220pf",603,"C0603C221K5RACTU","80-C0603C221K5R",
"C211","POLARIZED_CAPACITOR","10uF",805,"TCA1C106M8R","511-1473-1-ND",
"C212","POLARIZED_CAPACITOR","10uF",805,"TCA1C106M8R","511-1473-1-ND",
"C213","POLARIZED_CAPACITOR","1uf",805,"TCP1C105M8R","511-1467-1-ND",
"C214","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C215","POLARIZED_CAPACITOR","47uf",1206,"TCTAL1A476M8R","511-1500-1-ND",
"C216","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C217","POLARIZED_CAPACITOR","10uf",805,"TCA1C106M8R","511-1473-1-ND",
"C218","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C219","POLARIZED_CAPACITOR","1uf",805,"TCP1C105M8R","511-1467-1-ND",
"C220","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C221","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C222","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C223","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
