"refdes","device","value","footprint","Mfg Part Number","Digi-Key","Mouser"
"C102","CAPACITOR","12pf",603,"C0603C120J5GACTU","399-1050-1-ND",
"C103","CAPACITOR","12pf",603,"C0603C120J5GACTU","399-1050-1-ND",
"C104","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C105","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C106","POLARIZED_CAPACITOR","10uf 6.3v",805,"TCP0J106M8R","511-1447-1-ND",
"C107","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C108","POLARIZED_CAPACITOR","10uf 6.3V",805,"TCP0J106M8R","511-1447-1-ND",
"C109","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C110","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C111","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C201","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C202","CAPACITOR","47pf",603,"C0603C470J5GACTU","399-1056-1-ND",
"C203","CAPACITOR","0.01uf",603,"C0603C104M4RACTU","399-1099-1-ND",
"C204","CAPACITOR","47pf",603,"C0603C470J5GACTU","399-1056-1-ND",
"C205","CAPACITOR","0.01uf",603,"C0603C104M4RACTU","399-1099-1-ND",
"C206","CAPACITOR","47pf",603,"C0603C470J5GACTU","399-1056-1-ND",
"C207","CAPACITOR","0.01uf",603,"C0603C104M4RACTU","399-1099-1-ND",
"C208","CAPACITOR","47pf",603,"C0603C470J5GACTU","399-1056-1-ND",
"C209","CAPACITOR","0.01uf",603,"C0603C104M4RACTU","399-1099-1-ND",
"C210","CAPACITOR","47pf",603,"C0603C470J5GACTU","399-1056-1-ND",
"C211","CAPACITOR","47pf",603,"C0603C470J5GACTU","399-1056-1-ND",
"C212","CAPACITOR","47pf",603,"C0603C470J5GACTU","399-1056-1-ND",
"C213","CAPACITOR","47pf",603,"C0603C470J5GACTU","399-1056-1-ND",
"C215","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C216","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C217","CAPACITOR","0.1uf",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C301","POLARIZED_CAPACITOR","1uF 16V",805,"TCP1C105M8R","511-1467-1-ND",
"C302","POLARIZED_CAPACITOR","10uF 6.3V",805,"TCP0J106M8R","511-1447-1-ND",
"C303","POLARIZED_CAPACITOR","1uF 16V",805,"TCP1C105M8R","511-1467-1-ND",
"C304","POLARIZED_CAPACITOR","10uF 6.3V",805,"TCP0J106M8R","511-1447-1-ND",
"C305","CAPACITOR","0.1uF",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C306","CAPACITOR","0.1uF",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C307","CAPACITOR","0.1uF",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"C308","CAPACITOR","0.1uF",603,"C0603C104K4RACTU",,"80—C0603C104K4R"
"CONN101","HEADER 4x1 0.1”","unknown","CONNECTOR 4 1","snap header, or solder",,
"CONN102","HEADER 5x1 0.1”","unknown","CONNECTOR 5 1","snap header, or solder",,
"CONN201","CV JACK","unknown","CONNECTOR 2 1","builders choice",,
"CONN202","CV JACK","unknown","CONNECTOR 2 1","builders choice",,
"CONN203","CV JACK","unknown","CONNECTOR 2 1","builders choice",,
"CONN204","CV JACK","unknown","CONNECTOR 2 1","builders choice",,
"CONN205","CV JACK","unknown","CONNECTOR 2 1","builders choice",,
"CONN206","CV JACK","unknown","CONNECTOR 2 1","builders choice",,
"CONN207","CV JACK","unknown","CONNECTOR 2 1","builders choice",,
"CONN208","CV JACK","unknown","CONNECTOR 2 1","builders choice",,
"CONN301","HEADER 4x1 0.1”","unknown","CONNECTOR 4 1","snap header, or solder",,
"J301","HEADER 8x2 0.1”","unknown","CONNECTOR  8 2","snap header, or solder",,
"J302","HEADER 4x2 0.1”","unknown","CONNECTOR 4 2","snap header, or solder",,
"J303","HEADER 4x2 0.1”","unknown","CONNECTOR 4 2","snap header, or solder",,
"L101","FERRITE BEAD","2k5 50ma",603,"BLM18BD252SN1D","490-1028-1-ND",
"Q301","NMOS FET","BS170 ","TO92","BS170_D75Z",,"512-BS170D75Z"
"R106","RESISTOR","10k",805,"Generic 5% 1/8W 0805 SMD",,
"R201","RESISTOR","4.7k",805,"Generic 5% 1/8W 0805 SMD",,
"R202","RESISTOR","27k",805,"Generic 5% 1/8W 0805 SMD",,
"R203","RESISTOR","91k",805,"Generic 5% 1/8W 0805 SMD",,
"R204","RESISTOR","330k",805,"Generic 5% 1/8W 0805 SMD",,
"R205","RESISTOR","100k",805,"Generic 5% 1/8W 0805 SMD",,
"R206","RESISTOR",10,805,"Generic 5% 1/8W 0805 SMD",,
"R207","RESISTOR","100k",805,"Generic 5% 1/8W 0805 SMD",,
"R208","RESISTOR","330k",805,"Generic 5% 1/8W 0805 SMD",,
"R209","RESISTOR","100k",805,"Generic 5% 1/8W 0805 SMD",,
"R210","RESISTOR",10,805,"Generic 5% 1/8W 0805 SMD",,
"R211","RESISTOR","100k",805,"Generic 5% 1/8W 0805 SMD",,
"R212","RESISTOR","330k",805,"Generic 5% 1/8W 0805 SMD",,
"R213","RESISTOR","100k",805,"Generic 5% 1/8W 0805 SMD",,
"R214","RESISTOR",10,805,"Generic 5% 1/8W 0805 SMD",,
"R215","RESISTOR","100k",805,"Generic 5% 1/8W 0805 SMD",,
